feature_code,weight_ratio,year,la_name
S12000008,2.23,2012,East Ayrshire
S12000040,2.41,2007,West Lothian
S12000034,1.83,2005,Aberdeenshire
S12000011,1.59,2013,East Renfrewshire
S12000041,2.18,2005,Angus
S12000041,2.18,2006,Angus
S12000011,1.94,2010,East Renfrewshire
S12000011,1.36,2011,East Renfrewshire
S12000010,1.66,2011,East Lothian
S12000035,1.57,2002,Argyll and Bute
S12000035,2.68,2006,Argyll and Bute
S12000010,1.89,2005,East Lothian
S12000010,1.83,2004,East Lothian
S12000040,2.29,2011,West Lothian
S12000035,1.9,2003,Argyll and Bute
S12000034,1.51,2013,Aberdeenshire
S12000010,1.74,2009,East Lothian
S12000010,1.76,2012,East Lothian
S12000040,1.97,2010,West Lothian
S12000035,2.58,2005,Argyll and Bute
S12000010,2.14,2006,East Lothian
S12000040,2.16,2009,West Lothian
S12000035,2.74,2007,Argyll and Bute
S12000010,2.14,2008,East Lothian
S12000010,2,2007,East Lothian
S12000035,2.27,2004,Argyll and Bute
S92000003,2.02,2019,Scotland
S12000041,1.51,2019,Angus
S12000039,2.46,2019,West Dunbartonshire
S12000038,2.13,2019,Renfrewshire
S12000049,2.48,2019,Glasgow City
S12000040,2.08,2019,West Lothian
S12000047,2.15,2019,Fife
S12000042,2.36,2019,Dundee City
S12000036,1.67,2019,City of Edinburgh
S12000035,1.93,2019,Argyll and Bute
S12000045,1.16,2019,East Dunbartonshire
S12000005,2.77,2019,Clackmannanshire
S12000010,1.7,2019,East Lothian
S12000006,2.41,2019,Dumfries and Galloway
S12000008,2.36,2019,East Ayrshire
S12000011,1.69,2019,East Renfrewshire
S12000017,1.93,2019,Highland
S12000020,1.98,2019,Moray
S12000013,1.89,2019,Na h-Eileanan Siar
S12000030,1.28,2019,Stirling
S12000029,1.96,2019,South Lanarkshire
S12000014,2.67,2019,Falkirk
S12000050,2.02,2019,North Lanarkshire
S12000048,2.08,2019,Perth and Kinross
S12000018,2.18,2019,Inverclyde
S12000021,2.71,2019,North Ayrshire
S12000019,2.07,2019,Midlothian
S12000033,1.69,2019,Aberdeen City
S12000026,1.36,2019,Scottish Borders
S12000034,1.44,2019,Aberdeenshire
S12000028,1.91,2019,South Ayrshire
S12000027,0.97,2019,Shetland Islands
S12000023,1.46,2019,Orkney Islands
S12000029,1.83,2018,South Lanarkshire
S12000006,2.23,2018,Dumfries and Galloway
S12000023,2.41,2018,Orkney Islands
S12000021,2.47,2018,North Ayrshire
S12000014,2.86,2018,Falkirk
S12000008,2.02,2018,East Ayrshire
S12000011,1.9,2018,East Renfrewshire
S12000010,1.66,2018,East Lothian
S12000038,2.59,2018,Renfrewshire
S12000041,1.53,2018,Angus
S12000028,1.66,2018,South Ayrshire
S12000019,2,2018,Midlothian
S12000036,1.67,2018,City of Edinburgh
S12000027,0.79,2018,Shetland Islands
S12000034,1.42,2018,Aberdeenshire
S12000026,1.26,2018,Scottish Borders
S12000020,2.3,2018,Moray
S12000018,2.25,2018,Inverclyde
S12000035,1.7,2018,Argyll and Bute
S12000040,1.94,2018,West Lothian
S12000013,1.51,2018,Na h-Eileanan Siar
S12000033,1.58,2018,Aberdeen City
S12000030,1.51,2018,Stirling
S12000017,1.88,2018,Highland
S12000039,2.74,2018,West Dunbartonshire
S12000005,3.1,2018,Clackmannanshire
S12000047,2.28,2018,Fife
S12000048,2.02,2018,Perth and Kinross
S12000042,2.43,2018,Dundee City
S12000045,1.44,2018,East Dunbartonshire
S92000003,1.94,2016,Scotland
S92000003,2.03,2018,Scotland
S12000049,2.54,2018,Glasgow City
S12000050,2.05,2018,North Lanarkshire
S12000030,1.66,2016,Stirling
S12000034,1.41,2016,Aberdeenshire
S12000029,1.73,2016,South Lanarkshire
S12000027,0.62,2016,Shetland Islands
S12000028,1.55,2016,South Ayrshire
S12000041,1.16,2016,Angus
S12000026,1.61,2016,Scottish Borders
S12000033,1.75,2016,Aberdeen City
S12000023,2.59,2016,Orkney Islands
S12000018,2.53,2016,Inverclyde
S12000019,1.56,2016,Midlothian
S12000020,1.87,2016,Moray
S12000021,1.76,2016,North Ayrshire
S12000014,2.5,2016,Falkirk
S12000013,1.29,2016,Na h-Eileanan Siar
S12000010,1.66,2016,East Lothian
S12000011,1.52,2016,East Renfrewshire
S12000017,1.66,2016,Highland
S12000035,1.96,2016,Argyll and Bute
S12000036,1.51,2016,City of Edinburgh
S12000039,2.5,2016,West Dunbartonshire
S12000045,1.84,2016,East Dunbartonshire
S12000040,1.92,2016,West Lothian
S12000042,2.74,2016,Dundee City
S12000006,1.9,2016,Dumfries and Galloway
S12000008,1.52,2016,East Ayrshire
S12000005,2.55,2016,Clackmannanshire
